sample_id,reference,surface_area_before,surface_area_after,pore_volume_before,pore_volume_after,amine_type,molecular_weight,nitrogen_atom_content,primary_amine_proportion,secondary_amine_proportion,tertiary_amine_proportion,amine_loading,temperature,co2_partial_pressure,relative_humidity,co2_adsorbed_amount
S1_001,S1,643.03,205.98,1.1441,0.4717,PEI,800.0,0.3256,0.0,1.0,0.0,0.25,25.0,400.0,0.0,0.72
S1_002,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,25.0,400.0,0.0,1.34
S1_003,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,-5.0,400.0,0.0,1.15
S1_004,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,5.0,400.0,0.0,0.91
S1_005,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,15.0,400.0,0.0,1.11
S1_006,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,35.0,400.0,0.0,1.44
S1_007,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,45.0,400.0,0.0,1.59
S1_008,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,55.0,400.0,0.0,1.35
S1_009,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,65.0,400.0,0.0,1.01
S1_010,S1,643.03,13.089,1.1441,0.0505,PEI,800.0,0.3256,0.0,1.0,0.0,0.5,75.0,400.0,0.0,0.32
S1_011,S1,643.03,1.87,1.1441,0.0027,PEI,800.0,0.3256,0.0,1.0,0.0,0.75,25.0,400.0,0.0,1.9
S1_012,S1,643.03,250.38,1.1441,0.6024,TEPA,189.3,0.37,0.4,0.6,0.0,0.25,25.0,400.0,0.0,0.89
S1_013,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,25.0,400.0,0.0,2.3
S1_014,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,-5.0,400.0,0.0,2.29
S1_015,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,5.0,400.0,0.0,1.98
S1_016,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,15.0,400.0,0.0,1.97
S1_017,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,35.0,400.0,0.0,2.12
S1_018,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,45.0,400.0,0.0,2.01
S1_019,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,55.0,400.0,0.0,2.06
S1_020,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,65.0,400.0,0.0,1.14
S1_021,S1,643.03,174.1,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,75.0,400.0,0.0,0.35
S1_022,S1,643.03,0.83,1.1441,0.0018,TEPA,189.3,0.37,0.4,0.6,0.0,0.75,25.0,400.0,0.0,3.44
S2_001,S2,185.0,110.0,1.15,0.642,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.33,25.0,400.0,0.0,1.08
S2_002,S2,185.0,31.0,1.15,0.258,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.5,25.0,400.0,0.0,1.66
S2_003,S2,185.0,20.0,1.15,0.02,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.67,25.0,400.0,0.0,2.27
S2_004,S2,526.0,116.0,0.959,0.36,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.33,25.0,400.0,0.0,1.08
S2_005,S2,526.0,17.0,0.959,0.033,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.5,25.0,400.0,0.0,1.46
S2_006,S2,526.0,8.0,0.959,0.01,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.67,25.0,400.0,0.0,1.92
S3_001,S3,999.0,153.0,3.1,1.11,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.55,25.0,5000.0,0.0,2.56
S3_002,S3,999.0,104.0,3.1,0.69,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.6,25.0,5000.0,0.0,2.83
S3_003,S3,999.0,71.0,3.1,0.46,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.65,25.0,5000.0,0.0,2.75
S3_004,S3,999.0,46.0,3.1,0.34,PEI (branched),600.0,0.3256,0.364,0.273,0.364,0.7,25.0,5000.0,0.0,2.12
S3_005,S3,999.0,107.0,3.1,0.71,"PEI, Span 80",600.0,0.3256,0.364,0.273,0.364,0.57,25.0,5000.0,0.0,2.91
S3_006,S3,999.0,109.0,3.1,0.72,"PEI, Span 81",600.0,0.3256,0.364,0.273,0.364,0.55,25.0,5000.0,0.0,3.36
S3_007,S3,999.0,109.0,3.1,0.72,"PEI, Span 81",600.0,0.3256,0.364,0.273,0.364,0.55,25.0,400.0,0.0,2.25
